LEDGER t=6400026 tip=6399936, quorum=0.8
LEDGER t=6400030 tip=6399936, quorum=0.9
LEDGER t=6400031 tip=6399936, quorum=0.95
LEDGER t=6400031 tip=6399936, quorum=0.96
LEDGER t=6400032 tip=6399936, quorum=0.97
LEDGER t=6400032 tip=6399936, quorum=0.98
LEDGER t=6400032 tip=6399936, quorum=0.99
LEDGER t=6400054 tip=6399968, quorum=0.67
LEDGER t=6400058 tip=6399968, quorum=0.8
LEDGER t=6400061 tip=6399968, quorum=0.9
LEDGER t=6400063 tip=6399968, quorum=0.95
LEDGER t=6400063 tip=6399968, quorum=0.96
LEDGER t=6400064 tip=6399968, quorum=0.97
LEDGER t=6400064 tip=6399968, quorum=0.98
LEDGER t=6400064 tip=6399968, quorum=0.99
LEDGER t=6400086 tip=6400000, quorum=0.67
LEDGER t=6400090 tip=6400000, quorum=0.8
LEDGER t=6400093 tip=6400000, quorum=0.9
LEDGER t=6400095 tip=6400000, quorum=0.95
LEDGER t=6400095 tip=6400000, quorum=0.96
LEDGER t=6400096 tip=6400000, quorum=0.97
LEDGER t=6400096 tip=6400000, quorum=0.98
LEDGER t=6400096 tip=6400000, quorum=0.99
LEDGER t=6400118 tip=6400032, quorum=0.67
LEDGER t=6400122 tip=6400032, quorum=0.8
LEDGER t=6400125 tip=6400032, quorum=0.9
LEDGER t=6400127 tip=6400032, quorum=0.95
LEDGER t=6400127 tip=6400032, quorum=0.96
LEDGER t=6400128 tip=6400032, quorum=0.97
LEDGER t=6400128 tip=6400032, quorum=0.98
LEDGER t=6400128 tip=6400032, quorum=0.99
LEDGER t=6400150 tip=6400064, quorum=0.67
LEDGER t=6400154 tip=6400064, quorum=0.8
LEDGER t=6400158 tip=6400064, quorum=0.9
LEDGER t=6400159 tip=6400064, quorum=0.95
LEDGER t=6400160 tip=6400064, quorum=0.96
LEDGER t=6400160 tip=6400064, quorum=0.97
LEDGER t=6400160 tip=6400064, quorum=0.98
LEDGER t=6400160 tip=6400064, quorum=0.99
LEDGER t=6400182 tip=6400096, quorum=0.67
LEDGER t=6400186 tip=6400096, quorum=0.8
LEDGER t=6400189 tip=6400096, quorum=0.9
LEDGER t=6400191 tip=6400096, quorum=0.95
LEDGER t=6400191 tip=6400096, quorum=0.96
LEDGER t=6400192 tip=6400096, quorum=0.97
LEDGER t=6400192 tip=6400096, quorum=0.98
LEDGER t=6400192 tip=6400096, quorum=0.99
LEDGER t=6400214 tip=6400128, quorum=0.67
LEDGER t=6400218 tip=6400128, quorum=0.8
LEDGER t=6400221 tip=6400128, quorum=0.9
